iter	Logloss
0	0.6894872929
1	0.6849793509
2	0.6808231524
3	0.6766721483
4	0.6726170334
5	0.6667922268
6	0.6634558698
7	0.6595047545
8	0.6561437007
9	0.6527357338
10	0.6488794011
11	0.6432855594
12	0.6378954525
13	0.6327816393
14	0.6278263519
15	0.6254477558
16	0.6220386357
17	0.6181189887
18	0.615842863
19	0.6133437445
20	0.610923036
21	0.6080082616
22	0.6038126947
23	0.6016750595
24	0.5976261267
25	0.595473662
26	0.5927111845
27	0.5885622585
28	0.5864863758
29	0.5825309333
30	0.5801857052
31	0.5764199603
32	0.5727562745
33	0.5706385382
34	0.568977197
35	0.5668686336
36	0.5651644395
37	0.5634527603
38	0.5615159436
39	0.5599356515
40	0.558433786
41	0.5567679793
42	0.5544653927
43	0.5523408832
44	0.5507740595
45	0.5491456205
46	0.5474273098
47	0.5459795923
48	0.543837291
49	0.542429448
50	0.5394891649
51	0.5372134514
52	0.5343610731
53	0.5330701149
54	0.5316385628
55	0.5297453957
56	0.5272238139
57	0.5255209788
58	0.5237805952
59	0.5226588453
60	0.5203798666
61	0.5192390433
62	0.5173460077
63	0.5161915919
64	0.5150144336
65	0.5139182937
66	0.5127572807
67	0.5117008241
68	0.5105466225
69	0.5083039748
70	0.5073427967
71	0.5063192258
72	0.505387265
73	0.5044847198
74	0.5036331846
75	0.502455475
76	0.5005445944
77	0.499663396
78	0.498596715
79	0.4974910234
80	0.4966774644
81	0.495686477
82	0.4947590145
83	0.4937317851
84	0.492670551
85	0.491344992
86	0.49058229
87	0.4897728176
88	0.4890246186
89	0.4882258395
90	0.4874345014
91	0.48673973
92	0.4852322601
93	0.4835822193
94	0.4819814704
95	0.4812383025
96	0.4803982988
97	0.4795643251
98	0.4788555576
99	0.4773399454
100	0.4767111585
101	0.476083139
102	0.4753689124
103	0.4746909098
104	0.4733026969
105	0.4726707234
106	0.471964336
107	0.4712673729
108	0.4699158803
109	0.469241034
110	0.4687028611
111	0.4678525664
112	0.4672699761
113	0.4667121899
114	0.4660867729
115	0.4655072319
116	0.4644248769
117	0.4634757699
118	0.4628875478
119	0.4622785073
120	0.4617561516
121	0.461195466
122	0.4606749152
123	0.460146397
124	0.4595341121
125	0.4590957138
126	0.458582302
127	0.4574528024
128	0.4564552165
129	0.4554281775
130	0.4549869552
131	0.4544674839
132	0.4539461286
133	0.4535368259
134	0.4530342113
135	0.452646767
136	0.4521929342
137	0.451739384
138	0.4513414668
139	0.4509743749
140	0.4505680608
141	0.4501556256
142	0.4496878802
143	0.4493019137
144	0.4488848923
145	0.4484221185
146	0.4480312133
147	0.447605828
148	0.4472200849
149	0.4467997565
150	0.4458610442
151	0.4454349935
152	0.4451030835
153	0.4443098956
154	0.4439084397
155	0.4435053647
156	0.4427744486
157	0.4424032856
158	0.4415910675
159	0.4412675833
160	0.4409116011
161	0.4405656295
162	0.4402440614
163	0.4399212392
164	0.4396101442
165	0.4392562193
166	0.4389366025
167	0.4386130945
168	0.4379929815
169	0.4376720677
170	0.4372801948
171	0.4370152295
172	0.4367169977
173	0.4363780361
174	0.4360454951
175	0.4357528069
176	0.4352421523
177	0.4348712622
178	0.4342900341
179	0.4340155656
180	0.4333930913
181	0.4328332471
182	0.4325615386
183	0.432283488
184	0.4319913878
185	0.4317251937
186	0.4314603027
187	0.430943895
188	0.4306675173
189	0.4304575702
190	0.4302065303
191	0.4296804628
192	0.4294260535
193	0.4291893617
194	0.4289579905
195	0.428470466
196	0.4282280019
197	0.428036026
198	0.4278962162
199	0.4274323573
200	0.4269430261
201	0.4267288892
202	0.42650941
203	0.4262325298
204	0.426020689
205	0.4258859553
206	0.4256638326
207	0.4252068911
208	0.4249738283
209	0.4247696573
210	0.424569149
211	0.4243933475
212	0.4242044251
213	0.4240341999
214	0.423823247
215	0.4234107435
216	0.4232282491
217	0.4230244954
218	0.4228247185
219	0.4226289559
220	0.4224488082
221	0.4222667396
222	0.4220626226
223	0.4218588961
224	0.4216880142
225	0.4214486972
226	0.4212599285
227	0.4210770629
228	0.4208898109
229	0.4207261916
230	0.4205567283
231	0.4203519799
232	0.4199940117
233	0.4198271461
234	0.4196554782
235	0.4194813804
236	0.4191116793
237	0.4189380231
238	0.4187472015
239	0.4185994722
240	0.4184640115
241	0.4183143378
242	0.4181456776
243	0.4180003921
244	0.4178488552
245	0.4176836585
246	0.4175444389
247	0.4174116356
248	0.4172798481
249	0.4171497486
250	0.4170014949
251	0.4168821961
252	0.4167116503
253	0.4165856871
254	0.4164262698
255	0.4163098518
256	0.4161719977
257	0.4160404058
258	0.4157527191
259	0.4156351528
260	0.4155062903
261	0.4153780939
262	0.415254309
263	0.4151211549
264	0.4150295523
265	0.4148521445
266	0.4147380144
267	0.4145620466
